City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Torbay,20,CA,1619033614,57,47.6666,-52.7314,51.01,18.41
Vaini,40,TO,1619033812,94,-21.2,-175.2,73.4,3.44
Leningradskiy,33,RU,1619033812,67,69.3833,178.4167,27.19,5.97
Puerto Ayora,75,EC,1619033813,78,-0.7393,-90.3518,80.6,11.5
George Town,40,MY,1619033583,89,5.4112,100.3354,80.6,2.3
Mahébourg,75,MU,1619033813,94,-20.4081,57.7,77.0,9.22
Hermanus,19,ZA,1619033602,84,-34.4187,19.2345,64.0,4.0
Adré,100,TD,1619033813,11,13.4667,22.2,85.41,5.77
Arrondissement de Rennes,0,FR,1619033813,51,48.1667,-1.6667,60.8,17.27
Lamar,1,US,1619033814,33,33.6668,-95.5836,61.0,9.22
Narsaq,75,GL,1619033814,29,60.9167,-46.05,48.2,27.63
Alghero,20,IT,1619033814,94,40.5589,8.3181,55.4,4.61
Nantong,100,CN,1619033814,84,32.0303,120.8747,64.99,14.27
Atuona,5,PF,1619033815,72,-9.8,-139.0333,80.55,21.54
Atambua,59,ID,1619033815,88,-9.1061,124.8925,70.29,4.09
Hasaki,20,JP,1619033815,93,35.7333,140.8333,46.4,2.3
Port Alfred,55,ZA,1619033815,81,-33.5906,26.891,70.47,9.89
Kavieng,100,PG,1619033816,78,-2.5744,150.7967,80.28,6.2
Pangnirtung,90,CA,1619033816,69,66.1451,-65.7125,28.4,18.41
Bulawayo,0,ZW,1619033525,62,-20.15,28.5833,56.62,9.6
Salalah,20,OM,1619033816,74,17.0151,54.0924,82.4,3.44
Churapcha,91,RU,1619033817,99,62.0025,132.4325,-2.51,3.51
Upernavik,100,GL,1619033663,71,72.7868,-56.1549,17.76,6.93
Gaza,100,PS,1619033817,100,31.5,34.4667,66.0,8.34
Ust'-Kulom,100,RU,1619033817,57,61.6864,53.6902,44.87,9.57
Batagay,99,RU,1619033817,97,67.6333,134.6333,6.8,1.01
Jining,100,CN,1619033818,97,35.405,116.5814,52.21,5.77
Ketchikan,40,US,1619033818,50,55.3422,-131.6461,51.8,12.66
Rikitea,7,PF,1619033818,71,-23.1203,-134.9692,78.17,12.48
Chui,2,UY,1619033818,65,-33.6971,-53.4616,69.39,15.37
Quatre Cocos,75,MU,1619033819,94,-20.2078,57.7625,77.0,9.22
Geraldton,100,AU,1619033819,55,-28.7667,114.6,64.4,5.75
